,Varname,House,Date,Topic,Subcode,L1,L2,L3,L4,C2,C3,C4,C5,Other,Index,Source,N,Totcheck,Agenda1,Agenda2,Scope,raceoutcome,racespenddo,raceaa,aidtoblacks,EqualOpp,Added,date,f_date,period,value,IMMKEPT,IMMLEGAL,CNNIMM,PSRAIMM,SPIMMIG,IMMRATE,mood,tone,pro,anti,stories,prev_mood,mood_diff,pro_max,anti_max,dom_pro,dom_anti,surge_pro_abs,surge_pro,surge_anti_abs,surge_anti,tone_surge,tone_surge_abs,tone_max_diff,tone_dom_diff,surge_diff,surge_diff_abs
48,IMMLEGAL,CBS,10/23/96,120,124,8.0,35.0,0.0,0.0,0.0,0.0,0.0,50.0,7,46.2,USCBS.96010D.Q57,1528,100.0,530,0,0,0,0,0,0,0,10/15/12,1996-10-23,1996.80874317,250,0.462,0,1,0,0,0,0,0.466469850229,0.140883450884,0.478831392475,0.337947941591,337.0,0.423302524968,0.0431673252615,0.0845520253144,0.0856676418887,0.0136746121156,0.0265108509663,15.1577025037,0.0275591619499,14.4620723263,0.0240953214178,0.0317400485338,21.938166798,-0.00111561657433,-0.0128362388507,0.00346384053209,0.695630177352
65,IMMRATE,NES,11/15/96,120,124,2.0,4.0,0.0,0.0,0.0,0.0,29.0,26.0,39,9.84,sm96.POR V961325 10-19,1335,100.0,530,0,0,0,0,0,0,0,0,1996-11-15,1996.8715847,253,0.0984,0,0,0,0,0,1,0.446075999262,0.0949462644576,0.453991590108,0.359045325651,295.0,0.425965132051,0.0201108672117,0.0813305753615,0.0913459378669,0.00428406362756,0.0284855520927,7.85582149101,0.0180270693907,10.9196997722,0.0277453350951,-0.0684423956138,-13.164794323,-0.0100153625054,-0.0242014884652,-0.00971826570438,-3.06387828122
66,IMMRATE,NES,12/15/96,120,124,0.0,2.0,0.0,0.0,0.0,0.0,35.0,30.0,33,2.99,sm96.POR V961325 10-19,186,100.0,530,0,0,0,0,0,0,0,0,1996-12-15,1996.95355191,257,0.0299,0,0,0,0,0,1,0.377575999262,0.0519462650886,0.443015657658,0.39106939257,158.0,0.429567803824,-0.0519918045619,0.078951551367,0.09567670181,0.00334909842229,0.0285809979587,-0.311605888837,-0.000247672280452,0.0492026431325,0.0145939606261,-0.114236397045,-47.629864593,-0.016725150443,-0.0252318995364,-0.0148416329065,-0.360808531969
70,PSRAIMM,PSRA,11/5/97,120,124,6.0,18.0,0.0,0.0,0.0,0.0,34.0,39.0,3,24.74,USPSRA.042098.R15N,1165,100.0,530,0,0,0,0,0,0,0,0,1997-11-05,1997.84383562,304,0.2474,0,0,0,1,0,0,0.517440061521,0.29379725896,0.573720684629,0.279923425669,251.0,0.470207684574,0.0472323769465,0.124630703173,0.0702765795549,0.0523118729794,0.0201521338064,10.1695047292,0.0497626117999,0.800469323008,0.00592334662048,0.143381263315,31.325801227,0.0543541236177,0.0321597391731,0.0438392651795,9.36903540623
19,IMMKEPT,GALLUP,2/26/99,120,124,10.0,41.0,0.0,0.0,0.0,0.0,0.0,44.0,6,53.68,USGALLUP.99FU26.R27,1013,101.0,530,0,0,0,0,0,0,0,0,1999-02-26,1999.15342466,371,0.5368,1,0,0,0,0,0,0.5368,0.1875102108,0.523609694517,0.336099483717,180.0,0.505437171264,0.031362828736,0.093938720284,0.119107912458,0.00909394233443,0.0631792722846,4.76257446698,0.00908909494087,2.46366836212,-0.00211324432333,0.0207282288153,11.903398304,-0.0251691921736,-0.0540853299502,0.0112023392642,2.29890610486
71,PSRAIMM,PSRA,9/28/99,120,124,6.0,18.0,0.0,0.0,0.0,0.0,34.0,38.0,4,25.0,USPSRA.99NV11.R15N,985,100.0,530,0,0,0,0,0,0,0,0,1999-09-28,1999.73972603,402,0.25,0,0,0,1,0,0,0.520040061521,0.208098847985,0.532937985616,0.324839137631,203.0,0.517487876617,0.00255218490418,0.100758381746,0.0865457230632,0.006450740314,0.0341309567472,0.347379761714,0.0120419940187,1.73292078913,0.0119425937147,-0.0606643392711,-21.721572426,0.0142126586824,-0.0276802164332,9.94003039497e-05,-1.38554102742
20,IMMKEPT,GALLUP,9/11/00,120,124,13.0,41.0,0.0,0.0,0.0,0.0,0.0,38.0,8,58.7,USGALLUP.092200.R01,1008,100.0,530,0,0,0,0,0,0,0,10/15/12,2000-09-11,2000.69398907,452,0.587,1,0,0,0,0,0,0.587,0.275733304133,0.56661787966,0.290884575527,203.0,0.516345373002,0.070654626998,0.0985717623139,0.0777375216636,0.015160091022,0.0271586654152,4.62510023716,0.0328240379012,0.650294129483,0.00502569445142,0.057467350445,4.899627576,0.0208342406503,-0.0119985743933,0.0277983434498,3.97480610767
79,SPIMMIG,NES,9/15/00,10,22,85.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,85.0,NES2000.v000686,520,100.0,530,1201,1,0,0,0,0,0,0,2000-09-15,2000.70491803,452,0.85,0,0,0,0,1,0,0.503168656983,0.275733304133,0.56661787966,0.290884575527,203.0,0.516345373002,-0.0131767160191,0.0985717623139,0.0777375216636,0.015160091022,0.0271586654152,4.62510023716,0.0328240379012,0.650294129483,0.00502569445142,0.057467350445,4.899627576,0.0208342406503,-0.0119985743933,0.0277983434498,3.97480610767
80,SPIMMIG,NES,10/15/00,10,22,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,80.0,NES2000.v000686,434,100.0,530,1201,1,0,0,0,0,0,0,2000-10-15,2000.78688525,456,0.8,0,0,0,0,1,0,0.453168656983,0.279815425843,0.565721821067,0.285906395224,255.0,0.514638685651,-0.0614700286679,0.0841218169429,0.0780997031001,0.00418720514822,0.0273490385005,6.10434144204,0.00460512327244,7.36623568658,0.013078000489,0.0220589331747,21.605930505,0.00602211384287,-0.0231618333523,-0.00847287721658,-1.26189424454
81,SPIMMIG,NES,11/3/00,10,22,88.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,88.0,NES2000.v000686,161,100.0,530,1201,1,0,0,0,0,0,0,2000-11-03,2000.83879781,459,0.88,0,0,0,0,1,0,0.533168656983,0.290554066203,0.565584081619,0.275030015416,231.0,0.513216415759,0.0199522412244,0.0817765496407,0.0779643748416,0.00723900223753,0.0315188740161,9.95841307821,0.0389504867565,3.83776782589,0.0147238868086,0.0206345608799,12.054410207,0.00381217479906,-0.0242798717785,0.0242265999479,6.12064525232
