,immigration_rmse,immigration_loocv_rmse,immigration_rank,immigration_loocv_rank,same-sex marriage_rmse,same-sex marriage_loocv_rmse,same-sex marriage_rank,same-sex marriage_loocv_rank,gun control_rmse,gun control_loocv_rmse,gun control_rank,gun control_loocv_rank,mean_loocv_rank
prev_mood,0.0597223054732,0.0610857426078,4,4,0.0492969200854,0.0494062684532,4,4,0.0533130000765,0.0534475007629,3,2,3.33333333333
surge_diff_abs,0.0548506246266,0.0563025973294,2,2,0.04887228759,0.0490012532048,0,0,0.0528152448608,0.052973173028,1,1,1.0
tone_surge_abs,0.0551512697039,0.056547990167,3,3,0.0491537315757,0.0493273815419,3,3,0.0524815660711,0.052641115422,0,0,2.0
tone_X_stories_scaled,0.0548309586117,0.0562535539439,1,1,0.0489769180022,0.0491613817551,2,2,0.0533119590036,0.0535020787118,2,3,2.0
tone_max_diff_X_stories_scaled,0.0538672238731,0.0554791995508,0,0,0.0488940669364,0.0490093794727,1,1,0.0533318471164,0.05352069725,4,4,1.66666666667
