,immigration_rmse,immigration_loocv_rmse,immigration_rank,immigration_loocv_rank,same-sex marriage_rmse,same-sex marriage_loocv_rmse,same-sex marriage_rank,same-sex marriage_loocv_rank,gun control_rmse,gun control_loocv_rmse,gun control_rank,gun control_loocv_rank,mean_loocv_rank
prev_mood,0.059722305,0.061085743,4,4,0.04929692,0.049406268,4,4,0.053313,0.053447501,3,2,3.333333333
surge_tone_and_framing,0.054850625,0.056302597,2,2,0.048872288,0.049001253,0,0,0.052815245,0.052973173,1,1,1
surge_tone_only,0.05515127,0.05654799,3,3,0.049153732,0.049327382,3,3,0.052481566,0.052641115,0,0,2
tone_X_stories_scaled,0.054830959,0.056253554,1,1,0.048976918,0.049161382,2,2,0.053311959,0.053502079,2,3,2
tone_max_diff_X_stories_scaled,0.053867224,0.0554792,0,0,0.048894067,0.049009379,1,1,0.053331847,0.053520697,4,4,1.666666667
